HRV ANALYSIS RESULTS - 27-May-2021 11:52:28
Kubios HRV Premium
3.5.0
released in May 2021

Analyzed by:  -  - 

File name: C:\Users\Acquisition\Desktop\Active analysis\Kubios analysis\3296_12 Perf.txt
Measurement date: xx/xx/xx xx:xx:xx
File type: asciiEKG
Channel label: RR data
Data length: 03:53:29 (h:min:s)
Measurement rate: - 

Parameters
 Number of samples: 46
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 Use Lomb-Scargle periodogram instead of FFT: 0
 Lomb smoothing window: 0.02 Hz
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats
 RPA and D2, embedding dimension: 10
 RPA, threshold: 3.1623 x SD
 Time-varying options
  Window width: 300 s
  Grid interval: 60 s
  Spectrum estimation method: Spectrogram

Performed Analysis
 Standard analysis: Yes
 Time-varying analysis: Yes

RR Interval Samples Selected for Analysis
                              ,    Sample 1,    Sample 2,    Sample 3,    Sample 4,    Sample 5,    Sample 6,    Sample 7,    Sample 8,    Sample 9,   Sample 10,   Sample 11,   Sample 12,   Sample 13,   Sample 14,   Sample 15,   Sample 16,   Sample 17,   Sample 18,   Sample 19,   Sample 20,   Sample 21,   Sample 22,   Sample 23,   Sample 24,   Sample 25,   Sample 26,   Sample 27,   Sample 28,   Sample 29,   Sample 30,   Sample 31,   Sample 32,   Sample 33,   Sample 34,   Sample 35,   Sample 36,   Sample 37,   Sample 38,   Sample 39,   Sample 40,   Sample 41,   Sample 42,   Sample 43,   Sample 44,   Sample 45,   Sample 46,
  Sample limits (hh:mm:ss):   ,00:00:00-00:05:00,00:05:00-00:10:00,00:10:00-00:15:00,00:15:00-00:20:00,00:20:00-00:25:00,00:25:00-00:30:00,00:30:00-00:35:00,00:35:00-00:40:00,00:40:00-00:45:00,00:45:00-00:50:00,00:50:00-00:55:00,00:55:00-01:00:00,01:00:00-01:05:00,01:05:00-01:10:00,01:10:00-01:15:00,01:15:00-01:20:00,01:20:00-01:25:00,01:25:00-01:30:00,01:30:00-01:35:00,01:35:00-01:40:00,01:40:00-01:45:00,01:45:00-01:50:00,01:50:00-01:55:00,01:55:00-02:00:00,02:00:00-02:05:00,02:05:00-02:10:00,02:10:00-02:15:00,02:15:00-02:20:00,02:20:00-02:25:00,02:25:00-02:30:00,02:30:00-02:35:00,02:35:00-02:40:00,02:40:00-02:45:00,02:45:00-02:50:00,02:50:00-02:55:00,02:55:00-03:00:00,03:00:00-03:05:00,03:05:00-03:10:00,03:10:00-03:15:00,03:15:00-03:20:00,03:20:00-03:25:00,03:25:00-03:30:00,03:30:00-03:35:00,03:35:00-03:40:00,03:40:00-03:45:00,03:45:00-03:50:00,
  Sample Analysis Type: Single samples
  Beat correction: Automatic correction
  Beats total:                ,         227,         179,         243,          24,         278,         347,         245,         310,         286,         150,         361,         360,         329,         333,         355,         353,         328,         323,         335,         309,         296,         313,         301,         303,         292,         309,         356,         275,         273,         268,         303,         301,         286,         304,         270,         312,         302,         305,         297,         295,         321,         326,         264,          36,          59,          94,
  Beats corrected:            ,           2,           1,           3,           0,           0,           0,           3,           9,          13,          12,           7,           2,           2,           0,           9,           4,           0,           0,           2,           0,           0,           1,           2,           0,           0,           0,          12,           0,           0,           0,           0,           0,           1,           0,           0,           0,           0,           1,           0,           2,           2,           5,           9,           0,          10,           2,
  Beats corrected (%):        ,       0.881,       0.559,        1.23,           0,           0,           0,        1.22,         2.9,        4.55,           8,        1.94,       0.556,       0.608,           0,        2.54,        1.13,           0,           0,       0.597,           0,           0,       0.319,       0.664,           0,           0,           0,        3.37,           0,           0,           0,           0,           0,        0.35,           0,           0,           0,           0,       0.328,           0,       0.678,       0.623,        1.53,        3.41,           0,        16.9,        2.13,
  Effective data length (s):  ,         186,         151,         198,          20,         232,         300,         211,         270,         238,         105,         285,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         288,         300,         300,         300,         300,         300,         300,         300,         300,         300,         244,          36,          43,          98,
  Effective data length (%):  ,       61.87,       50.17,       66.00,        6.69,       77.33,      100.00,       70.33,       89.97,       79.26,       35.12,       95.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,       95.97,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,       81.27,       12.04,       14.43,       32.78,


RESULTS FOR SINGLE SAMPLES
STANDARD RESULTS
                              ,    SAMPLE 1,            ,    SAMPLE 2,            ,    SAMPLE 3,            ,    SAMPLE 4,            ,    SAMPLE 5,            ,    SAMPLE 6,            ,    SAMPLE 7,            ,    SAMPLE 8,            ,    SAMPLE 9,            ,   SAMPLE 10,            ,   SAMPLE 11,            ,   SAMPLE 12,            ,   SAMPLE 13,            ,   SAMPLE 14,            ,   SAMPLE 15,            ,   SAMPLE 16,            ,   SAMPLE 17,            ,   SAMPLE 18,            ,   SAMPLE 19,            ,   SAMPLE 20,            ,   SAMPLE 21,            ,   SAMPLE 22,            ,   SAMPLE 23,            ,   SAMPLE 24,            ,   SAMPLE 25,            ,   SAMPLE 26,            ,   SAMPLE 27,            ,   SAMPLE 28,            ,   SAMPLE 29,            ,   SAMPLE 30,            ,   SAMPLE 31,            ,   SAMPLE 32,            ,   SAMPLE 33,            ,   SAMPLE 34,            ,   SAMPLE 35,            ,   SAMPLE 36,            ,   SAMPLE 37,            ,   SAMPLE 38,            ,   SAMPLE 39,            ,   SAMPLE 40,            ,   SAMPLE 41,            ,   SAMPLE 42,            ,   SAMPLE 43,            ,   SAMPLE 44,            ,   SAMPLE 45,            ,   SAMPLE 46,            ,
  Min HR (beats/min):         ,     59.4177,            ,     62.8536,            ,     62.1375,            ,     67.3552,            ,     58.9391,            ,     52.9007,            ,     54.4860,            ,     52.1558,            ,     51.2902,            ,     64.2055,            ,     60.1022,            ,     58.5138,            ,     53.4664,            ,     56.4493,            ,     57.1374,            ,     56.0119,            ,     54.3626,            ,     53.8165,            ,     55.2792,            ,     49.7265,            ,     49.5009,            ,     47.4346,            ,     52.9848,            ,     45.5615,            ,     48.9676,            ,     48.6934,            ,     53.1114,            ,     46.1681,            ,     46.9300,            ,     47.9731,            ,     45.8015,            ,     47.2776,            ,     42.2000,            ,     49.8960,            ,     46.1858,            ,     49.7636,            ,     48.2121,            ,     50.4202,            ,     48.0423,            ,     50.9251,            ,     52.3058,            ,     52.5578,            ,     50.6296,            ,     56.9584,            ,     68.0349,            ,     45.1026,            ,
  Max HR (beats/min):         ,     86.5301,            ,     87.6552,            ,     94.9624,            ,     78.8955,            ,     87.3235,            ,     94.8467,            ,    100.9591,            ,    104.0905,            ,    101.0782,            ,    104.0433,            ,    102.1765,            ,     93.3126,            ,     89.7800,            ,     83.7170,            ,    102.8278,            ,     95.8313,            ,     84.1279,            ,     81.8554,            ,     86.9691,            ,     89.2061,            ,     84.0336,            ,     83.1716,            ,     80.3643,            ,     81.6215,            ,     78.7815,            ,     85.3121,            ,    103.3624,            ,     70.5467,            ,     75.1033,            ,     65.2813,            ,     89.7935,            ,     78.7092,            ,     79.3441,            ,     81.0592,            ,     75.3864,            ,     89.3788,            ,     83.4725,            ,     80.2032,            ,     76.8836,            ,     79.0202,            ,     82.6332,            ,     87.1966,            ,     89.3921,            ,     65.0266,            ,    110.0715,            ,     91.8836,            ,
  RMSSD (ms):                 ,     66.0241,            ,     53.9557,            ,     47.8923,            ,     42.6933,            ,     76.8867,            ,     76.7774,            ,     56.2748,            ,     88.1467,            ,     77.1410,            ,     40.1412,            ,     68.3875,            ,     59.2973,            ,     66.1413,            ,     69.3604,            ,     63.5046,            ,     62.4420,            ,     77.2782,            ,     73.2254,            ,     69.8385,            ,     90.4923,            ,     90.7165,            ,     98.0080,            ,     72.6807,            ,     89.6605,            ,     86.1607,            ,     86.8679,            ,     68.1347,            ,    101.1034,            ,     98.9047,            ,     76.9724,            ,     77.6897,            ,     95.1516,            ,    101.0106,            ,     85.6126,            ,     92.5961,            ,     91.7688,            ,     84.6127,            ,     92.9786,            ,     76.5583,            ,     76.1779,            ,     65.5253,            ,     96.3875,            ,     88.6520,            ,    140.1615,            ,     58.9747,            ,    122.9276,            ,
  NNxx (beats):               ,          73,            ,          47,            ,          52,            ,           4,            ,         132,            ,         153,            ,          83,            ,         140,            ,         114,            ,          20,            ,         130,            ,         125,            ,         145,            ,         154,            ,         141,            ,         136,            ,         160,            ,         149,            ,         149,            ,         163,            ,         174,            ,         171,            ,         147,            ,         165,            ,         157,            ,         175,            ,         138,            ,         188,            ,         175,            ,         152,            ,         146,            ,         177,            ,         170,            ,         170,            ,         171,            ,         173,            ,         156,            ,         168,            ,         150,            ,         133,            ,         143,            ,         159,            ,         143,            ,          24,            ,          14,            ,          57,            ,
  pNNxx (%):                  ,     32.3009,            ,     26.4045,            ,     21.4876,            ,     17.3913,            ,     47.6534,            ,     44.2197,            ,     34.0164,            ,     45.3074,            ,     40.0000,            ,     13.4228,            ,     36.1111,            ,     34.8189,            ,     44.2073,            ,     46.3855,            ,     39.8305,            ,     38.6364,            ,     48.9297,            ,     46.2733,            ,     44.6108,            ,     52.9221,            ,     58.9831,            ,     54.8077,            ,     49.0000,            ,     54.6358,            ,     53.9519,            ,     56.8182,            ,     38.8732,            ,     68.6131,            ,     64.3382,            ,     56.9288,            ,     48.3444,            ,     59.0000,            ,     59.6491,            ,     56.1056,            ,     63.5688,            ,     55.6270,            ,     51.8272,            ,     55.2632,            ,     50.6757,            ,     45.2381,            ,     44.6875,            ,     48.9231,            ,     54.3726,            ,     68.5714,            ,     24.1379,            ,     61.2903,            ,
  SDANN (ms):                 ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,
  SDNN index (ms):            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,
 Geometric parameters         ,
  RR tri index:               ,   13.352941,            ,   13.769231,            ,   12.789474,            ,   12.000000,            ,   15.444444,            ,   18.263158,            ,   11.666667,            ,   12.916667,            ,   11.440000,            ,   10.714286,            ,   14.440000,            ,   16.363636,            ,   15.666667,            ,   17.526316,            ,   16.904762,            ,   20.764706,            ,   18.222222,            ,   17.000000,            ,   15.952381,            ,   18.176471,            ,   15.578947,            ,   24.076923,            ,   15.050000,            ,   18.937500,            ,   19.466667,            ,   18.176471,            ,   14.833333,            ,   19.642857,            ,   14.368421,            ,   12.761905,            ,   15.150000,            ,   23.153846,            ,   20.428571,            ,   17.882353,            ,   19.285714,            ,   20.800000,            ,   16.777778,            ,   19.062500,            ,   16.500000,            ,   14.047619,            ,   14.590909,            ,   18.111111,            ,   20.307692,            ,   12.000000,            ,   11.800000,            ,   15.666667,            ,
  TINN (ms):                  ,    366.0000,            ,    359.0000,            ,    248.0000,            ,    221.0000,            ,    323.0000,            ,    429.0000,            ,    264.0000,            ,    392.0000,            ,    370.0000,            ,    256.0000,            ,    331.0000,            ,    364.0000,            ,    351.0000,            ,    384.0000,            ,    357.0000,            ,    422.0000,            ,    364.0000,            ,    351.0000,            ,    409.0000,            ,    450.0000,            ,    473.0000,            ,    511.0000,            ,    332.0000,            ,    563.0000,            ,    435.0000,            ,    370.0000,            ,    440.0000,            ,    398.0000,            ,    397.0000,            ,    309.0000,            ,    357.0000,            ,    447.0000,            ,    552.0000,            ,    418.0000,            ,    398.0000,            ,    437.0000,            ,    438.0000,            ,    465.0000,            ,    359.0000,            ,    421.0000,            ,    358.0000,            ,    469.0000,            ,    507.0000,            ,    313.0000,            ,    340.0000,            ,    428.0000,            ,
  DC (ms):                    ,     49.4989,            ,     31.9230,            ,     31.7770,            ,     29.6490,            ,     42.3000,            ,     45.6794,            ,     31.5146,            ,     52.8317,            ,     38.3304,            ,     29.7521,            ,     44.2588,            ,     43.0878,            ,     42.8653,            ,     49.1892,            ,     44.4073,            ,     47.3978,            ,     49.1863,            ,     48.7978,            ,     46.1592,            ,     64.9686,            ,     63.8473,            ,     73.7589,            ,     41.4371,            ,     61.8505,            ,     60.1300,            ,     53.7278,            ,     50.5858,            ,     65.0006,            ,     59.6331,            ,     56.0741,            ,     49.7510,            ,     63.8699,            ,     70.3193,            ,     55.3547,            ,     60.8064,            ,     68.9433,            ,     57.9842,            ,     64.6738,            ,     54.1807,            ,     54.1786,            ,     43.2613,            ,     59.3787,            ,     57.3306,            ,     70.9249,            ,     39.9701,            ,     46.0865,            ,
  DCmod (ms):                 ,     66.5964,            ,     50.3384,            ,     47.8476,            ,     42.4935,            ,     79.9323,            ,     72.2128,            ,     49.3050,            ,     87.3944,            ,     80.1597,            ,     35.5750,            ,     69.8119,            ,     58.4806,            ,     66.5278,            ,     69.1609,            ,     62.1844,            ,     62.5199,            ,     73.0125,            ,     71.7688,            ,     66.1019,            ,     91.0877,            ,     86.5768,            ,     96.1814,            ,     67.7739,            ,     86.9800,            ,     81.7637,            ,     85.1371,            ,     68.5100,            ,     98.0045,            ,     95.4021,            ,     77.5939,            ,     71.5351,            ,     89.3849,            ,     95.2148,            ,     81.1789,            ,     89.1727,            ,     90.0761,            ,     82.4616,            ,     90.8305,            ,     76.9640,            ,     70.7292,            ,     61.2430,            ,     96.6759,            ,     88.2178,            ,    159.8793,            ,     63.6067,            ,    114.4492,            ,
