HRV ANALYSIS RESULTS - 26-May-2021 16:01:41
Kubios HRV Premium
3.5.0
released in May 2021

Analyzed by:  -  - 

File name: C:\Users\Acquisition\Desktop\Active analysis\Kubios analysis\3296_10 Perf2.txt
Measurement date: xx/xx/xx xx:xx:xx
File type: asciiEKG
Channel label: RR data
Data length: 03:48:48 (h:min:s)
Measurement rate: - 

Parameters
 Number of samples: 45
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 Use Lomb-Scargle periodogram instead of FFT: 0
 Lomb smoothing window: 0.02 Hz
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats
 RPA and D2, embedding dimension: 10
 RPA, threshold: 3.1623 x SD
 Time-varying options
  Window width: 300 s
  Grid interval: 60 s
  Spectrum estimation method: Spectrogram

Performed Analysis
 Standard analysis: Yes
 Time-varying analysis: Yes

RR Interval Samples Selected for Analysis
                              ,    Sample 1,    Sample 2,    Sample 3,    Sample 4,    Sample 5,    Sample 6,    Sample 7,    Sample 8,    Sample 9,   Sample 10,   Sample 11,   Sample 12,   Sample 13,   Sample 14,   Sample 15,   Sample 16,   Sample 17,   Sample 18,   Sample 19,   Sample 20,   Sample 21,   Sample 22,   Sample 23,   Sample 24,   Sample 25,   Sample 26,   Sample 27,   Sample 28,   Sample 29,   Sample 30,   Sample 31,   Sample 32,   Sample 33,   Sample 34,   Sample 35,   Sample 36,   Sample 37,   Sample 38,   Sample 39,   Sample 40,   Sample 41,   Sample 42,   Sample 43,   Sample 44,   Sample 45,
  Sample limits (hh:mm:ss):   ,00:01:42-00:06:42,00:06:42-00:11:42,00:11:42-00:16:42,00:16:42-00:21:42,00:21:42-00:26:42,00:26:42-00:31:42,00:31:42-00:36:42,00:36:42-00:41:42,00:41:42-00:46:42,00:46:42-00:51:42,00:51:42-00:56:42,00:56:42-01:01:42,01:01:42-01:06:42,01:06:42-01:11:42,01:11:42-01:16:42,01:16:42-01:21:42,01:21:42-01:26:42,01:26:42-01:31:42,01:31:42-01:36:42,01:36:42-01:41:42,01:41:42-01:46:42,01:46:42-01:51:42,01:51:42-01:56:42,01:56:42-02:01:42,02:01:42-02:06:42,02:06:42-02:11:42,02:11:42-02:16:42,02:16:42-02:21:42,02:21:42-02:26:42,02:26:42-02:31:42,02:31:42-02:36:42,02:36:42-02:41:42,02:41:42-02:46:42,02:46:42-02:51:42,02:51:42-02:56:42,02:56:42-03:01:42,03:01:42-03:06:42,03:06:42-03:11:42,03:11:42-03:16:42,03:16:42-03:21:42,03:21:42-03:26:42,03:26:42-03:31:42,03:31:42-03:36:42,03:36:42-03:41:42,03:41:42-03:46:42,
  Sample Analysis Type: Single samples
  Beat correction: Automatic correction
  Beats total:                ,          50,         298,          82,         342,         344,         382,         353,         321,         350,         348,         175,         266,         238,         389,         359,         361,         375,         377,         370,         169,         352,         346,         353,         377,         269,         331,         345,         367,         340,         336,         379,         285,         249,         208,          82,         186,         168,         202,         203,         201,          39,         340,         189,         286,          52,
  Beats corrected:            ,           0,           5,           6,           7,          11,           8,           2,           4,           1,          20,          19,          11,          14,          20,           2,           9,           0,           3,           0,           0,           4,           0,           0,          15,           8,           0,          11,           4,           6,          10,          30,           8,          22,           9,          11,          11,           9,           6,           0,           1,           3,          16,           7,          18,           4,
  Beats corrected (%):        ,           0,        1.68,        7.32,        2.05,         3.2,        2.09,       0.567,        1.25,       0.286,        5.75,        10.9,        4.14,        5.88,        5.14,       0.557,        2.49,           0,       0.796,           0,           0,        1.14,           0,           0,        3.98,        2.97,           0,        3.19,        1.09,        1.76,        2.98,        7.92,        2.81,        8.84,        4.33,        13.4,        5.91,        5.36,        2.97,           0,       0.498,        7.69,        4.71,         3.7,        6.29,        7.69,
  Effective data length (s):  ,          33,         216,          54,         247,         253,         294,         300,         253,         300,         286,         116,         182,         179,         297,         290,         300,         300,         300,         300,         139,         296,         290,         300,         300,         217,         277,         300,         300,         289,         291,         290,         236,         204,         180,          52,         129,         117,         174,         185,         159,          28,         235,         136,         191,          47,
  Effective data length (%):  ,       11.00,       71.91,       18.06,       82.27,       84.28,       97.99,      100.00,       84.28,      100.00,       95.32,       38.80,       60.54,       59.53,       99.00,       96.66,      100.00,      100.00,      100.00,      100.00,       46.49,       98.66,       96.66,      100.00,      100.00,       72.24,       92.31,      100.00,      100.00,       96.32,       96.99,       96.67,       78.52,       68.00,       59.87,       17.39,       43.00,       39.13,       57.86,       61.67,       52.84,        9.33,       78.19,       45.33,       63.55,       15.53,


RESULTS FOR SINGLE SAMPLES
STANDARD RESULTS
                              ,    SAMPLE 1,            ,    SAMPLE 2,            ,    SAMPLE 3,            ,    SAMPLE 4,            ,    SAMPLE 5,            ,    SAMPLE 6,            ,    SAMPLE 7,            ,    SAMPLE 8,            ,    SAMPLE 9,            ,   SAMPLE 10,            ,   SAMPLE 11,            ,   SAMPLE 12,            ,   SAMPLE 13,            ,   SAMPLE 14,            ,   SAMPLE 15,            ,   SAMPLE 16,            ,   SAMPLE 17,            ,   SAMPLE 18,            ,   SAMPLE 19,            ,   SAMPLE 20,            ,   SAMPLE 21,            ,   SAMPLE 22,            ,   SAMPLE 23,            ,   SAMPLE 24,            ,   SAMPLE 25,            ,   SAMPLE 26,            ,   SAMPLE 27,            ,   SAMPLE 28,            ,   SAMPLE 29,            ,   SAMPLE 30,            ,   SAMPLE 31,            ,   SAMPLE 32,            ,   SAMPLE 33,            ,   SAMPLE 34,            ,   SAMPLE 35,            ,   SAMPLE 36,            ,   SAMPLE 37,            ,   SAMPLE 38,            ,   SAMPLE 39,            ,   SAMPLE 40,            ,   SAMPLE 41,            ,   SAMPLE 42,            ,   SAMPLE 43,            ,   SAMPLE 44,            ,   SAMPLE 45,            ,
  Min HR (beats/min):         ,     76.1808,            ,     66.6149,            ,     75.3885,            ,     60.6735,            ,     57.9598,            ,     47.7783,            ,     50.8992,            ,     51.4933,            ,     51.8001,            ,     53.0500,            ,     72.1587,            ,     71.0985,            ,     63.8973,            ,     63.2378,            ,     61.7538,            ,     53.8213,            ,     59.1541,            ,     59.0726,            ,     55.2690,            ,     60.5632,            ,     53.1256,            ,     53.7827,            ,     47.7099,            ,     56.1430,            ,     62.5521,            ,     59.4118,            ,     49.6977,            ,     48.8122,            ,     52.2694,            ,     54.6597,            ,     55.4868,            ,     52.1648,            ,     56.9693,            ,     57.2902,            ,     77.5896,            ,     65.7246,            ,     62.8272,            ,     53.6001,            ,     52.6870,            ,     66.7780,            ,     69.6009,            ,     59.3883,            ,     68.5714,            ,     55.5607,            ,     84.5785,            ,
  Max HR (beats/min):         ,    101.7812,            ,    103.8062,            ,    103.2525,            ,    119.9329,            ,    108.2981,            ,    110.7186,            ,     96.5562,            ,    103.0574,            ,     94.4733,            ,    110.7215,            ,    107.3153,            ,    105.4636,            ,     98.1659,            ,     97.7358,            ,     94.5031,            ,    112.7403,            ,     96.4320,            ,     96.2218,            ,    116.9591,            ,     91.7571,            ,    101.2658,            ,    104.9501,            ,     94.5180,            ,     93.4143,            ,     89.5255,            ,     96.8054,            ,     88.2613,            ,     97.6245,            ,     88.6591,            ,     88.9021,            ,    107.7199,            ,    101.6949,            ,    104.2209,            ,    104.0188,            ,    115.3551,            ,    101.8330,            ,    104.0222,            ,     93.9555,            ,     98.3445,            ,     95.5566,            ,     96.5251,            ,    113.1939,            ,    127.4427,            ,    111.9403,            ,    108.5776,            ,
  RMSSD (ms):                 ,     35.3220,            ,     30.9682,            ,     35.6488,            ,     50.7172,            ,     51.1380,            ,     58.5166,            ,     65.8186,            ,     56.3345,            ,     44.8297,            ,     62.3419,            ,     45.8271,            ,     50.6880,            ,     51.4304,            ,     50.8247,            ,     52.2447,            ,     59.5188,            ,     57.3461,            ,     51.1688,            ,     50.0985,            ,     53.9915,            ,     70.0002,            ,     60.2700,            ,     70.7857,            ,     54.2378,            ,     50.5561,            ,     63.3530,            ,     70.7002,            ,     63.2989,            ,     59.3840,            ,     68.0617,            ,     51.8835,            ,     63.3061,            ,     67.4241,            ,     89.9772,            ,     36.7921,            ,     47.4446,            ,     45.3116,            ,     61.2249,            ,     60.0520,            ,     43.4065,            ,     44.3718,            ,     53.3572,            ,     52.9939,            ,     45.4834,            ,     35.2379,            ,
  NNxx (beats):               ,           9,            ,          27,            ,          12,            ,          69,            ,          61,            ,          89,            ,         118,            ,          84,            ,          80,            ,         112,            ,          39,            ,          50,            ,          59,            ,          96,            ,         102,            ,         123,            ,         113,            ,         100,            ,          98,            ,          59,            ,         134,            ,         118,            ,         103,            ,          99,            ,          58,            ,         135,            ,         127,            ,         121,            ,         116,            ,          99,            ,          93,            ,          83,            ,          78,            ,         112,            ,          12,            ,          36,            ,          31,            ,          75,            ,          60,            ,          33,            ,          10,            ,          89,            ,          45,            ,          45,            ,           8,            ,
  pNNxx (%):                  ,     18.3673,            ,      9.0909,            ,     14.8148,            ,     20.2346,            ,     17.7843,            ,     23.3596,            ,     33.5227,            ,     26.2500,            ,     22.9226,            ,     32.2767,            ,     22.4138,            ,     18.8679,            ,     24.8945,            ,     24.7423,            ,     28.4916,            ,     34.1667,            ,     30.2139,            ,     26.5957,            ,     26.5583,            ,     35.1190,            ,     38.1766,            ,     34.2029,            ,     29.2614,            ,     26.3298,            ,     21.6418,            ,     40.9091,            ,     36.9186,            ,     33.0601,            ,     34.2183,            ,     29.5522,            ,     24.6032,            ,     29.2254,            ,     31.4516,            ,     54.1063,            ,     14.8148,            ,     19.4595,            ,     18.5629,            ,     37.3134,            ,     29.7030,            ,     16.5000,            ,     26.3158,            ,     26.2537,            ,     23.9362,            ,     15.7895,            ,     15.6863,            ,
  SDANN (ms):                 ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,
  SDNN index (ms):            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,
 Geometric parameters         ,
  RR tri index:               ,   10.000000,            ,   11.461538,            ,    9.111111,            ,   13.680000,            ,   10.117647,            ,   13.172414,            ,   14.708333,            ,   15.285714,            ,   10.606061,            ,   14.500000,            ,   11.666667,            ,   12.090909,            ,   18.307692,            ,   14.961538,            ,   19.944444,            ,   15.695652,            ,   20.833333,            ,   13.962963,            ,   12.758621,            ,   13.000000,            ,   15.304348,            ,   18.210526,            ,   18.578947,            ,   13.464286,            ,   13.450000,            ,   16.550000,            ,   18.157895,            ,   15.956522,            ,   13.600000,            ,   16.800000,            ,   17.227273,            ,   16.764706,            ,   13.105263,            ,   17.333333,            ,   10.250000,            ,   12.400000,            ,    8.400000,            ,   12.625000,            ,   13.533333,            ,   13.400000,            ,    7.800000,            ,   16.190476,            ,   13.500000,            ,    9.862069,            ,    6.500000,            ,
  TINN (ms):                  ,    230.0000,            ,    203.0000,            ,    230.0000,            ,    341.0000,            ,    428.0000,            ,    507.0000,            ,    470.0000,            ,    408.0000,            ,    323.0000,            ,    436.0000,            ,    261.0000,            ,    261.0000,            ,    352.0000,            ,    361.0000,            ,    333.0000,            ,    385.0000,            ,    441.0000,            ,    350.0000,            ,    344.0000,            ,    296.0000,            ,    450.0000,            ,    384.0000,            ,    515.0000,            ,    360.0000,            ,    272.0000,            ,    363.0000,            ,    470.0000,            ,    523.0000,            ,    462.0000,            ,    455.0000,            ,    353.0000,            ,    376.0000,            ,    433.0000,            ,    384.0000,            ,    222.0000,            ,    273.0000,            ,    215.0000,            ,    305.0000,            ,    328.0000,            ,    271.0000,            ,    244.0000,            ,    367.0000,            ,    315.0000,            ,    361.0000,            ,    126.0000,            ,
  DC (ms):                    ,     49.4936,            ,     27.3242,            ,     22.0812,            ,     50.8334,            ,     44.8893,            ,     49.9368,            ,     39.6020,            ,     37.2387,            ,     36.3991,            ,     42.8140,            ,     36.0365,            ,     23.8723,            ,     49.0646,            ,     36.0751,            ,     47.6564,            ,     46.0306,            ,     46.3751,            ,     50.0515,            ,     35.6434,            ,     28.2177,            ,     58.5616,            ,     53.1202,            ,     54.3404,            ,     38.8756,            ,     47.7465,            ,     49.9118,            ,     56.4982,            ,     54.0161,            ,     42.8901,            ,     47.8610,            ,     41.0957,            ,     55.9556,            ,     47.4562,            ,     54.0974,            ,     26.3697,            ,     67.5273,            ,     35.2572,            ,     42.1942,            ,     51.2123,            ,     38.4946,            ,     41.8188,            ,     41.7471,            ,     43.5294,            ,     27.9695,            ,     39.8701,            ,
  DCmod (ms):                 ,     45.5764,            ,     32.7744,            ,     31.0403,            ,     55.0736,            ,     51.1079,            ,     60.5485,            ,     60.3567,            ,     54.8881,            ,     46.0695,            ,     57.4394,            ,     44.7613,            ,     47.7420,            ,     54.1412,            ,     47.1898,            ,     56.5697,            ,     59.5779,            ,     56.8404,            ,     55.6667,            ,     45.1518,            ,     50.2179,            ,     73.6370,            ,     59.7402,            ,     70.5624,            ,     51.4317,            ,     52.6986,            ,     65.8693,            ,     69.7889,            ,     67.0589,            ,     56.5002,            ,     61.5005,            ,     52.4964,            ,     72.3529,            ,     64.8662,            ,     92.3414,            ,     30.7384,            ,     63.7868,            ,     47.1894,            ,     65.6312,            ,     67.7581,            ,     42.8841,            ,     40.6693,            ,     56.2588,            ,     58.0396,            ,     41.6968,            ,     36.8649,            ,
